Date,Open,High,Low,Close,Volume
2000-01-04,7.838,8.014,7.72,7.72,5375000
2000-01-05,7.631,7.838,7.071,7.248,8835360
2000-01-06,7.307,7.749,7.189,7.631,9866800
2000-01-07,7.72,8.044,7.72,7.955,13400000
2000-01-10,8.132,8.545,8.073,8.427,8515369
2000-01-11,8.427,8.633,8.397,8.515,3762000
2000-01-12,8.309,8.427,8.014,8.427,4267000
2000-01-13,8.25,8.368,8.014,8.25,6318650
2000-01-14,8.25,8.279,8.044,8.191,3808000
2000-01-17,8.191,8.191,7.808,7.867,4752000
2000-01-18,7.808,8.014,7.808,7.926,3046907
2000-01-19,7.867,7.867,7.602,7.72,5967000
2000-01-20,7.69,7.985,7.69,7.926,2831500
2000-01-21,7.867,7.867,7.749,7.838,3392466
2000-01-24,7.926,7.926,7.572,7.572,3510000
2000-01-25,7.425,7.572,7.366,7.513,4714000
2000-01-26,7.543,7.631,7.396,7.484,3530000
2000-01-27,7.513,7.779,7.366,7.631,3950000
2000-01-28,7.779,7.779,7.307,7.366,5963000
2000-01-31,7.337,7.513,7.16,7.248,4392000
2000-02-01,7.366,7.366,7.13,7.189,2998900
2000-02-02,7.189,7.337,7.071,7.307,1230000
2000-02-03,7.396,7.955,7.396,7.896,5443000
2000-02-04,7.896,7.896,7.896,7.896,0
2000-02-07,7.896,7.896,7.896,7.896,0
2000-02-08,7.779,7.838,7.484,7.779,3876000
2000-02-09,7.896,7.985,7.513,7.779,4365002
2000-02-10,7.749,7.808,7.484,7.661,1307000
2000-02-11,7.602,7.602,7.396,7.454,4499000
2000-02-14,7.366,7.366,6.865,6.924,6060277
2000-02-15,7.071,7.071,6.394,6.482,13671000
2000-02-16,6.512,6.747,6.394,6.6,9038600
2000-02-17,6.659,6.806,6.629,6.777,3936000
2000-02-18,6.777,7.13,6.747,6.895,4449000
2000-02-21,6.777,6.836,6.512,6.571,2300000
2000-02-22,6.6,6.777,6.423,6.6,3600000
2000-02-23,6.629,6.865,6.629,6.777,3134880
2000-02-24,6.718,7.013,6.718,6.806,4934070
2000-02-25,6.777,6.806,6.541,6.6,4696775
2000-02-28,6.718,6.718,6.07,6.188,6731000
2000-02-29,6.246,6.482,6.246,6.364,3631770
2000-03-01,6.364,6.482,5.981,5.981,6046000
2000-03-02,6.07,6.364,5.981,6.217,5173888
2000-03-03,6.188,6.394,6.129,6.364,4877768
2000-03-06,6.482,6.924,6.423,6.836,6894000
2000-03-07,6.865,7.248,6.6,7.219,5061634
2000-03-08,7.16,7.454,6.777,7.337,9807888
2000-03-09,7.661,7.955,7.071,7.101,7211592
2000-03-10,7.13,7.278,6.659,6.747,4920000
2000-03-13,6.718,7.278,6.629,7.071,4754100
2000-03-14,7.071,7.101,6.836,7.013,2450000
2000-03-15,6.895,6.895,6.688,6.777,2035000
2000-03-16,6.954,7.189,6.865,6.954,2653000
2000-03-17,7.071,7.307,7.071,7.278,4862000
2000-03-20,7.042,7.454,7.013,7.13,3040725
2000-03-21,7.189,7.248,6.777,6.895,2875000
2000-03-22,6.954,7.13,6.895,7.13,1817000
2000-03-23,7.013,7.13,6.954,7.013,1781000
2000-03-24,7.071,7.248,7.013,7.189,2309000
2000-03-27,7.189,7.219,6.836,6.954,6241710
2000-03-28,6.954,7.013,6.865,6.924,2720000
2000-03-29,6.954,7.071,6.865,6.954,3412000
2000-03-30,6.954,7.071,6.777,6.865,8337000
2000-03-31,6.895,7.042,6.777,6.895,3915000
2000-04-03,6.895,6.895,6.659,6.777,3423000
2000-04-04,6.777,6.777,6.777,6.777,0
2000-04-05,6.895,7.16,6.836,7.13,5527000
2000-04-06,7.189,7.779,7.16,7.72,11213361
2000-04-07,7.72,7.808,7.602,7.72,6113939
2000-04-10,7.661,7.661,7.454,7.543,2396000
2000-04-11,7.454,7.72,7.454,7.661,1774000
2000-04-12,7.69,8.191,7.543,8.073,5768000
2000-04-13,7.926,8.663,7.779,8.368,12632000
2000-04-14,8.25,8.309,8.073,8.221,5992000
2000-04-17,7.955,7.955,7.543,7.661,3700000
2000-04-18,7.838,7.985,7.749,7.955,1877000
2000-04-19,7.985,8.427,7.955,8.309,4155400
2000-04-20,8.221,8.25,8.103,8.191,2000000
2000-04-21,8.191,8.191,8.191,8.191,0
2000-04-24,8.191,8.191,8.191,8.191,0
2000-04-25,8.191,8.515,8.132,8.486,2530000
2000-04-26,8.604,8.633,8.309,8.427,5202000
2000-04-27,8.397,8.604,8.073,8.073,6640000
2000-04-28,8.368,8.368,8.103,8.162,2543000
2000-05-01,8.162,8.162,8.162,8.162,0
2000-05-02,8.338,8.368,7.926,7.955,3933000
2000-05-03,7.955,8.044,7.808,8.014,2444000
2000-05-04,8.014,8.279,7.955,7.985,2648000
2000-05-05,7.985,8.279,7.985,8.014,5438000
2000-05-08,8.132,8.604,8.132,8.545,7339711
2000-05-09,8.707,8.707,8.707,8.707,0
2000-05-10,8.286,8.467,8.226,8.407,4297400
2000-05-11,8.407,8.407,8.407,8.407,0
2000-05-12,8.347,8.617,8.196,8.527,7683000
2000-05-15,8.286,8.347,8.196,8.347,2094000
2000-05-16,8.377,8.437,8.286,8.407,3541000
2000-05-17,8.467,8.467,8.347,8.407,4150000
2000-05-18,8.377,8.497,8.347,8.497,5166000
2000-05-19,8.407,8.857,8.407,8.707,3143451
2000-05-22,8.617,8.617,8.196,8.407,4205000
2000-05-23,8.437,8.797,8.347,8.767,2676085
2000-05-24,8.497,8.707,8.347,8.707,2799500
2000-05-25,8.737,8.797,8.407,8.707,1478000
2000-05-26,8.677,8.677,8.407,8.497,3777000
2000-05-29,8.497,8.497,8.316,8.316,2666000
2000-05-30,8.316,8.316,8.316,8.316,0
2000-05-31,8.617,8.827,8.407,8.407,3598000
2000-06-01,8.527,8.587,8.286,8.377,4231169
2000-06-02,8.497,8.587,8.196,8.256,4749600
2000-06-05,8.347,8.497,8.347,8.467,4429000
2000-06-06,8.467,8.467,8.467,8.467,0
2000-06-07,8.437,8.887,8.437,8.827,6481000
2000-06-08,8.947,9.217,8.887,9.007,7287419
2000-06-09,9.007,9.157,8.977,9.067,1325000
2000-06-12,9.067,9.097,8.767,8.827,2116797
2000-06-13,8.647,8.707,8.497,8.527,2254000
2000-06-14,8.527,8.737,8.437,8.557,3167000
2000-06-15,8.527,8.737,8.527,8.587,3400000
2000-06-16,8.647,8.707,8.587,8.617,1915000
2000-06-19,8.587,8.587,8.347,8.437,5067000
2000-06-20,8.467,8.467,8.196,8.377,4533000
2000-06-21,8.377,8.377,8.286,8.347,2683000
2000-06-22,8.527,8.737,8.377,8.617,11919100
2000-06-23,8.527,8.827,8.527,8.827,4562856
2000-06-26,8.797,9.067,8.797,9.007,3462316
2000-06-27,9.007,9.007,8.917,9.007,2686000
2000-06-28,8.977,8.977,8.887,8.977,2658000
2000-06-29,8.977,8.977,8.497,8.617,3435461
2000-06-30,8.587,8.797,8.557,8.647,3873500
2000-07-03,8.707,8.767,8.437,8.737,3485000
2000-07-04,8.707,9.247,8.587,9.157,5060258
2000-07-05,9.187,10.088,9.187,9.998,16979470
2000-07-06,9.998,10.058,9.638,9.668,8288000
2000-07-07,9.668,9.698,9.517,9.577,5735000
2000-07-10,9.607,9.998,9.547,9.908,3744387
2000-07-11,9.908,9.908,9.457,9.668,4012000
2000-07-12,9.638,10.268,9.607,10.088,4405600
2000-07-13,10.088,10.208,9.758,9.758,3460688
2000-07-14,9.728,9.788,9.698,9.788,1954000
2000-07-17,9.788,9.968,9.728,9.848,3004000
2000-07-18,9.818,9.848,9.547,9.607,3405000
2000-07-19,9.818,9.848,9.547,9.607,3405000
2000-07-20,10.148,10.328,9.878,10.328,2334000
2000-07-21,10.328,10.508,10.148,10.358,3350060
2000-07-24,10.298,10.448,10.208,10.268,1997000
2000-07-25,10.148,10.298,9.607,9.758,1706000
2000-07-26,9.788,10.118,9.788,10.088,1781431
2000-07-27,9.908,10.208,9.908,10.058,1087000
2000-07-28,10.058,10.118,9.848,9.998,2005000
2000-07-31,10.088,10.088,9.668,9.788,2317500
2000-08-01,9.848,9.938,9.788,9.818,2164920
2000-08-02,9.818,10.268,9.818,10.268,2020840
2000-08-03,10.148,10.688,10.088,10.568,3784093
2000-08-04,10.688,10.688,10.298,10.508,3065000
2000-08-07,10.508,10.508,10.328,10.478,984000
2000-08-08,10.418,10.478,10.028,10.028,3230000
2000-08-09,10.088,10.388,9.848,9.968,3509000
2000-08-10,10.268,10.478,9.878,9.908,2953000
2000-08-11,9.908,9.908,9.397,9.487,7600000
2000-08-14,9.607,9.698,9.427,9.457,3996952
2000-08-15,9.487,9.728,9.487,9.668,3875700
2000-08-16,9.728,9.818,9.607,9.728,2043000
2000-08-17,9.728,9.758,9.607,9.698,1649000
2000-08-18,9.668,9.968,9.638,9.908,3615500
2000-08-21,9.848,10.178,9.788,9.968,1895000
2000-08-22,9.848,9.968,9.698,9.878,1649300
2000-08-23,9.878,9.938,9.607,9.638,1476000
2000-08-24,9.638,9.638,9.097,9.157,10874000
2000-08-25,9.187,9.187,8.977,9.067,5596000
2000-08-28,9.067,9.187,9.037,9.187,2712000
2000-08-29,9.187,9.337,9.187,9.277,2146600
2000-08-30,9.307,9.307,8.977,9.157,4157500
2000-08-31,9.067,9.157,8.947,9.097,4714000
2000-09-01,9.127,9.277,9.067,9.127,2963000
2000-09-04,9.157,9.247,8.977,9.007,5071000
2000-09-05,9.037,9.097,9.007,9.007,2881000
2000-09-06,9.037,9.277,9.037,9.247,3371000
2000-09-07,9.247,9.247,8.973,8.973,7390000
2000-09-08,9.004,9.126,8.913,8.973,4123000
2000-09-11,8.943,9.156,8.913,9.126,3491000
2000-09-12,9.034,9.065,8.73,8.943,7026700
2000-09-13,8.943,8.943,8.943,8.943,0
2000-09-14,8.913,8.913,8.517,8.578,7591653
2000-09-15,8.639,8.73,8.487,8.7,7113630
2000-09-18,8.517,8.517,8.243,8.487,6984000
2000-09-19,8.335,8.395,7.97,8.395,6956000
2000-09-20,8.304,8.487,8.152,8.304,4089780
2000-09-21,8.395,8.426,8.183,8.335,2478000
2000-09-22,8.213,8.395,8.183,8.183,4358384
2000-09-25,8.395,8.669,8.395,8.548,4171000
2000-09-26,8.608,8.669,8.426,8.548,2919500
2000-09-27,8.487,8.487,8.335,8.395,4072645
2000-09-28,8.395,8.456,8.061,8.274,6369385
2000-09-29,8.395,8.791,8.335,8.7,7152625
2000-10-02,8.7,8.7,8.7,8.7,0
2000-10-03,8.821,8.821,8.487,8.7,5707925
2000-10-04,8.7,8.973,8.548,8.943,4055080
2000-10-05,8.973,9.004,8.761,8.852,5233610
2000-10-06,8.852,8.852,8.852,8.852,0
2000-10-09,8.821,8.821,8.395,8.456,5894155
2000-10-10,8.426,8.426,8.213,8.335,5757200
2000-10-11,8.243,8.335,7.97,8.091,7180800
2000-10-12,8.0,8.091,7.757,7.909,7793000
2000-10-13,7.605,7.635,7.3,7.483,10641000
2000-10-16,7.483,7.483,7.483,7.483,0
2000-10-17,7.818,7.818,7.453,7.665,2132000
2000-10-18,7.3,7.665,7.3,7.635,2529194
2000-10-19,7.544,7.696,7.453,7.574,4412600
2000-10-20,7.665,7.878,7.665,7.878,3427000
2000-10-23,7.909,8.122,7.787,7.939,3202000
2000-10-24,7.97,8.061,7.757,7.818,1339000
2000-10-25,7.848,7.97,7.757,7.878,1861699
2000-10-26,7.848,8.213,7.848,8.152,2192342
2000-10-27,8.152,8.152,8.152,8.152,0
2000-10-30,8.274,8.395,8.274,8.365,2015000
2000-10-31,8.365,8.608,8.365,8.608,3679708
2000-11-01,8.608,8.761,8.608,8.7,3573000
2000-11-02,8.7,8.791,8.608,8.639,2898930
2000-11-03,8.73,8.761,8.669,8.761,2011000
2000-11-06,8.761,8.761,8.669,8.669,2702000
2000-11-07,8.73,8.761,8.669,8.669,1644000
2000-11-08,8.7,8.973,8.7,8.852,3221000
2000-11-09,8.761,8.821,8.7,8.761,1788000
2000-11-10,8.639,8.7,8.395,8.578,2722000
2000-11-13,8.365,8.548,8.335,8.517,1919000
2000-11-14,8.487,8.548,8.335,8.395,2439550
2000-11-15,8.487,8.608,8.426,8.456,2461464
2000-11-16,8.456,8.608,8.426,8.456,2090000
2000-11-17,8.426,8.578,8.426,8.517,2982548
2000-11-20,8.456,8.791,8.456,8.7,2837000
2000-11-21,8.578,8.608,8.395,8.517,4305300
2000-11-22,8.517,8.578,8.274,8.548,4421000
2000-11-23,8.456,8.669,8.395,8.578,6107000
2000-11-24,8.608,8.608,8.426,8.426,2376000
2000-11-27,8.517,8.578,8.456,8.578,2595000
2000-11-28,8.578,8.608,8.517,8.548,1148165
2000-11-29,8.517,8.517,8.335,8.517,2625000
2000-11-30,8.395,8.548,8.365,8.426,2775000
2000-12-01,8.456,8.639,8.274,8.578,4377000
2000-12-04,8.517,8.639,8.335,8.365,1663000
2000-12-05,8.517,8.517,8.122,8.152,5591000
2000-12-06,8.335,8.365,8.091,8.213,9585237
2000-12-07,8.152,8.243,7.97,8.0,4603000
2000-12-08,7.97,8.183,7.97,8.152,7257400
2000-12-11,8.213,8.487,8.183,8.456,4002285
2000-12-12,8.456,8.456,8.213,8.335,2980000
2000-12-13,8.365,8.487,8.243,8.456,4202900
2000-12-14,8.395,8.456,8.274,8.274,3418242
2000-12-15,8.304,8.304,8.061,8.122,4723200
2000-12-18,8.061,8.304,8.0,8.274,1626000
2000-12-19,8.304,8.304,8.061,8.122,2392847
2000-12-20,8.213,8.365,8.183,8.274,4831000
2000-12-21,8.183,8.335,8.091,8.183,6017300
2000-12-22,8.274,8.608,8.243,8.578,5607010
2000-12-27,8.7,8.7,8.395,8.395,3174000
2000-12-28,8.456,8.608,8.456,8.608,3447000
2000-12-29,8.639,8.791,8.608,8.761,4255000
2001-01-01,8.761,8.761,8.761,8.761,0
2001-01-02,8.7,8.761,8.608,8.7,2065000
2001-01-03,8.669,8.669,8.487,8.517,2619700
2001-01-04,8.7,8.761,8.335,8.487,8210000
2001-01-05,8.487,8.487,8.183,8.243,15583000
2001-01-08,8.213,8.213,8.061,8.122,10584000
2001-01-09,8.122,8.335,8.061,8.213,9854000
2001-01-10,8.243,8.274,8.152,8.152,5966000
2001-01-11,8.152,8.152,7.787,7.818,14390000
2001-01-12,7.878,7.97,7.665,7.665,11925865
2001-01-15,7.696,7.696,7.361,7.453,21066000
2001-01-16,7.483,7.635,7.361,7.513,13293250
2001-01-17,7.574,7.605,7.331,7.422,9137000
2001-01-18,7.513,7.544,7.361,7.422,8720500
2001-01-19,7.483,7.696,7.483,7.635,13099000
2001-01-22,7.605,7.665,7.422,7.574,5337000
2001-01-23,7.605,7.635,7.513,7.635,3985500
2001-01-29,7.665,7.726,7.453,7.513,4939000
2001-01-30,7.513,7.544,7.392,7.422,8484009
2001-01-31,7.483,7.483,7.361,7.392,9660000
2001-02-01,7.361,7.635,7.361,7.574,9090000
2001-02-02,7.635,7.635,7.483,7.483,5821000
2001-02-05,7.483,7.574,7.453,7.513,4124550
2001-02-06,7.513,7.574,7.361,7.392,9877500
2001-02-07,7.422,7.483,7.361,7.392,6324000
2001-02-08,7.361,7.361,7.179,7.24,11814276
2001-02-09,7.24,7.27,7.118,7.179,12705000
2001-02-12,7.179,7.3,7.118,7.3,5478000
2001-02-13,7.392,7.483,7.361,7.392,6654000
2001-02-14,7.331,7.453,7.27,7.392,5248000
2001-02-15,7.392,7.422,7.3,7.392,2859000
2001-02-16,7.361,7.392,7.24,7.331,3740500
2001-02-19,7.209,7.3,7.209,7.27,1638500
2001-02-20,7.27,7.3,7.209,7.24,4522200
2001-02-21,7.24,7.331,7.179,7.3,2288000
2001-02-22,7.24,7.392,7.24,7.361,3073000
2001-02-23,7.331,7.392,7.24,7.24,2786280
2001-02-26,7.3,7.3,7.148,7.148,5085616
2001-02-27,7.148,7.209,7.087,7.148,5469690
2001-02-28,7.148,7.179,6.996,7.087,6545740
2001-03-01,7.057,7.087,6.905,6.935,6621000
2001-03-02,6.875,7.027,6.875,6.935,5471000
2001-03-05,6.935,7.27,6.935,7.087,3247000
2001-03-06,7.24,7.361,7.209,7.361,7330000
2001-03-07,7.422,7.483,7.27,7.331,11453177
2001-03-08,7.392,7.422,7.27,7.3,8614000
2001-03-09,7.331,7.422,7.3,7.422,4937055
2001-03-12,7.3,7.3,7.118,7.148,5630000
2001-03-13,6.935,7.057,6.935,6.996,7237000
2001-03-15,6.814,7.3,6.722,7.3,4181000
2001-03-16,7.118,7.179,7.027,7.118,1596600
2001-03-19,7.118,7.331,7.027,7.24,4272000
2001-03-20,7.24,7.331,7.179,7.209,2770000
2001-03-21,7.209,7.24,7.027,7.118,3082145
2001-03-22,6.996,7.087,6.875,6.905,3929643
2001-03-23,6.966,7.027,6.875,6.905,4766000
2001-03-26,6.966,7.087,6.966,7.027,3587000
2001-03-27,7.087,7.087,6.905,7.027,2407700
2001-03-28,7.057,7.057,6.875,7.027,3010750
2001-03-29,6.905,6.935,6.783,6.905,2404360
2001-03-30,6.935,6.996,6.844,6.875,3405132
2001-04-02,6.966,6.966,6.844,6.844,2589000
